name,Image,dataCountry,country,continent,office,mandateStart,mandateEnd,headOfStateOrGovernment
Elisabeth Domitien,,Central African Republic,,Africa,Prime Minister,02/01/1975,07/04/1976,*
Saara Kuugongelwa,,Namibia,,Africa,Prime Minister,21/03/2015,Incumbent,*
Stella Sigcau,,Transkei,,Africa,Prime Minister,05/10/1987,30/12/1987,Head of government
Sylvie Kinigi,,Burundi,,Africa,Prime Minister,10/07/1993,27/10/1993,Head of government
Agathe Uwilingiyimana,,Rwanda,,Africa,Prime Minister,18/07/1993,07/04/1994,Head of government
Mame Madior Boye,,Senegal,,Africa,Prime Minister,03/03/2001,04/11/2002,Head of government
Maria das Neves,,São Tomé and Príncipe,,Africa,Prime Minister,03/10/2002,18/09/2004,Head of government
Luísa Diogo,,Mozambique,,Africa,Prime Minister,17/02/2004,16/01/2010,Head of government
Maria do Carmo Silveira,,São Tomé and Príncipe,,Africa,Prime Minister,08/06/2005,21/04/2006,Head of government
Cécile Manorohanta,,Madagascar,,Africa,Acting Prime Minister,18/12/2009,20/12/2009,Head of government
Cissé Mariam Kaïdama Sidibé,,Mali,,Africa,Prime Minister,03/04/2011,22/03/2012,Head of government
Adiato Djaló Nandigna,,Guinea-Bissau,,Africa,Acting Prime Minister,10/02/2012,12/04/2012,Head of government
Aminata Touré,,Senegal,,Africa,Prime Minister,01/09/2013,08/07/2014,Head of government
